19-12 10:53:04.571|INFO |ProgramEntry:App arguments: ''
19-12 10:53:05.226|WARN |PlayniteSettings:No existing settings found.
19-12 10:53:05.226|WARN |PlayniteSettings:No settings backup found, creating default ones.
19-12 10:53:05.305|WARN |PlayniteSettings:No existing windowPositions.json settings found.
19-12 10:53:05.305|WARN |PlayniteSettings:No windowPositions.json settings backup found, creating default ones.
19-12 10:53:05.305|WARN |PlayniteSettings:No existing fullscreenConfig.json settings found.
19-12 10:53:05.305|WARN |PlayniteSettings:No fullscreenConfig.json settings backup found, creating default ones.
19-12 10:53:07.288|INFO |PlayniteApplication:Application started from 'C:\Users\paffe\AppData\Local\Playnite'
19-12 10:53:14.229|INFO |GameDatabase:Opening db C:\Users\paffe\AppData\Roaming\Playnite\library
19-12 10:53:14.274|DEBUG|ExecutionTimer:--- Timer 'DatabaseLoadCollections', 39 ms to complete.
19-12 10:53:14.458|INFO |DatabaseStats:Completely recalculating database statistics...
19-12 10:53:14.559|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.FirstTimeStartupWindowFactory: 1a0cc6b8-bda3-4eaf-abba-3214d28b5171
19-12 10:53:28.320|DEBUG|WindowFactory:Show dialog window Playnite.Windows.ProgressWindowFactory: 48dc3e77-2e88-4745-819d-fd6008487409
19-12 10:53:29.024|DEBUG|WindowFactory:Closing window Playnite.Windows.ProgressWindowFactory: 48dc3e77-2e88-4745-819d-fd6008487409, True
19-12 10:53:51.535|DEBUG|WindowFactory:Show dialog window Playnite.Windows.ProgressWindowFactory: 7ced9d8a-c6e3-4877-9905-28d054af9488
19-12 10:53:51.771|DEBUG|Downloader:Downloading data from https://github.com/JosefNemec/PlayniteExtensions/releases/download/2.2/AmazonLibrary_Builtin_2_11.pext to C:\Users\paffe\AppData\Local\Temp\Playnite\AmazonLibrary_Builtin.pext.
19-12 10:53:53.252|DEBUG|Downloader:Downloading data from https://github.com/JosefNemec/PlayniteExtensions/releases/download/2.2/BattlenetLibrary_Builtin_2_23.pext to C:\Users\paffe\AppData\Local\Temp\Playnite\BattlenetLibrary_Builtin.pext.
19-12 10:53:54.443|DEBUG|Downloader:Downloading data from https://github.com/JosefNemec/PlayniteExtensions/releases/download/2.2/EpicGamesLibrary_Builtin_2_26.pext to C:\Users\paffe\AppData\Local\Temp\Playnite\EpicGamesLibrary_Builtin.pext.
19-12 10:53:55.382|DEBUG|Downloader:Downloading data from https://github.com/Jeshibu/PlayniteExtensions/releases/download/2025-11-01/EaLibrary_3_2.pext to C:\Users\paffe\AppData\Local\Temp\Playnite\OriginLibrary_Builtin.pext.
19-12 10:53:58.446|DEBUG|Downloader:Downloading data from https://github.com/JosefNemec/PlayniteExtensions/releases/download/2.2/GogLibrary_Builtin_2_21.pext to C:\Users\paffe\AppData\Local\Temp\Playnite\GogLibrary_Builtin.pext.
19-12 10:53:59.226|DEBUG|Downloader:Downloading data from https://github.com/JosefNemec/PlayniteExtensions/releases/download/2.2/SteamLibrary_Builtin_2_40.pext to C:\Users\paffe\AppData\Local\Temp\Playnite\SteamLibrary_Builtin.pext.
19-12 10:54:00.784|DEBUG|Downloader:Downloading data from https://github.com/JosefNemec/PlayniteExtensions/releases/download/2.2/UplayLibrary_Builtin_2_9.pext to C:\Users\paffe\AppData\Local\Temp\Playnite\UplayLibrary_Builtin.pext.
19-12 10:54:01.173|DEBUG|Downloader:Downloading data from https://github.com/JosefNemec/PlayniteExtensions/releases/download/2.2/IGDBMetadata_Builtin_2_12.pext to C:\Users\paffe\AppData\Local\Temp\Playnite\IGDBMetadata_Builtin.pext.
19-12 10:54:01.391|DEBUG|WindowFactory:Closing window Playnite.Windows.ProgressWindowFactory: 7ced9d8a-c6e3-4877-9905-28d054af9488, True
19-12 10:54:01.409|INFO |ExtensionInstaller:Installing extenstion/theme C:\Users\paffe\AppData\Local\Temp\Playnite\AmazonLibrary_Builtin.pext
19-12 10:54:01.597|INFO |ExtensionInstaller:Installed extension C:\Users\paffe\AppData\Local\Temp\Playnite\AmazonLibrary_Builtin.pext
19-12 10:54:01.597|INFO |ExtensionInstaller:Installing extenstion/theme C:\Users\paffe\AppData\Local\Temp\Playnite\BattlenetLibrary_Builtin.pext
19-12 10:54:01.658|INFO |ExtensionInstaller:Installed extension C:\Users\paffe\AppData\Local\Temp\Playnite\BattlenetLibrary_Builtin.pext
19-12 10:54:01.658|INFO |ExtensionInstaller:Installing extenstion/theme C:\Users\paffe\AppData\Local\Temp\Playnite\EpicGamesLibrary_Builtin.pext
19-12 10:54:01.703|INFO |ExtensionInstaller:Installed extension C:\Users\paffe\AppData\Local\Temp\Playnite\EpicGamesLibrary_Builtin.pext
19-12 10:54:01.703|INFO |ExtensionInstaller:Installing extenstion/theme C:\Users\paffe\AppData\Local\Temp\Playnite\OriginLibrary_Builtin.pext
19-12 10:54:01.762|INFO |ExtensionInstaller:Installed extension C:\Users\paffe\AppData\Local\Temp\Playnite\OriginLibrary_Builtin.pext
19-12 10:54:01.762|INFO |ExtensionInstaller:Installing extenstion/theme C:\Users\paffe\AppData\Local\Temp\Playnite\GogLibrary_Builtin.pext
19-12 10:54:01.802|INFO |ExtensionInstaller:Installed extension C:\Users\paffe\AppData\Local\Temp\Playnite\GogLibrary_Builtin.pext
19-12 10:54:01.802|INFO |ExtensionInstaller:Installing extenstion/theme C:\Users\paffe\AppData\Local\Temp\Playnite\SteamLibrary_Builtin.pext
19-12 10:54:01.906|INFO |ExtensionInstaller:Installed extension C:\Users\paffe\AppData\Local\Temp\Playnite\SteamLibrary_Builtin.pext
19-12 10:54:01.906|INFO |ExtensionInstaller:Installing extenstion/theme C:\Users\paffe\AppData\Local\Temp\Playnite\UplayLibrary_Builtin.pext
19-12 10:54:01.951|INFO |ExtensionInstaller:Installed extension C:\Users\paffe\AppData\Local\Temp\Playnite\UplayLibrary_Builtin.pext
19-12 10:54:01.951|INFO |ExtensionInstaller:Installing extenstion/theme C:\Users\paffe\AppData\Local\Temp\Playnite\IGDBMetadata_Builtin.pext
19-12 10:54:01.995|INFO |ExtensionInstaller:Installed extension C:\Users\paffe\AppData\Local\Temp\Playnite\IGDBMetadata_Builtin.pext
19-12 10:54:02.036|INFO |ExtensionFactory:Loaded plugin: AmazonGames library integration, version 2.11
19-12 10:54:02.036|INFO |ExtensionFactory:Loaded plugin: Battle.net library integration, version 2.23
19-12 10:54:02.077|INFO |ExtensionFactory:Loaded plugin: Epic Store library integration, version 2.26
19-12 10:54:02.090|INFO |ExtensionFactory:Loaded plugin: GOG library integration, version 2.21
19-12 10:54:02.304|INFO |ExtensionFactory:Loaded plugin: IGDB metadata provider, version 2.12
19-12 10:54:02.313|INFO |ExtensionFactory:Loaded plugin: EA app library, version 3.2
19-12 10:54:02.579|INFO |ExtensionFactory:Loaded plugin: Steam library integration, version 2.40
19-12 10:54:02.603|INFO |ExtensionFactory:Loaded plugin: Ubisoft Connect library integration, version 2.9
19-12 10:59:29.659|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.FirstTimeStartupWindowFactory: 1a0cc6b8-bda3-4eaf-abba-3214d28b5171, True
19-12 10:59:29.906|DEBUG|WindowFactory:Show window Playnite.DesktopApp.Windows.MainWindowFactory: a4f4022c-45a0-478b-9390-511135becf1a
19-12 10:59:30.087|DEBUG|GamesCollectionViewEntry:Reloading collection item view properties.
19-12 10:59:30.142|DEBUG|WindowFactory:Show dialog window Playnite.Windows.ProgressWindowFactory: f726ef19-c92a-4ac8-b320-92deda7e02a7
19-12 10:59:30.522|DEBUG|WindowFactory:Closing window Playnite.Windows.ProgressWindowFactory: f726ef19-c92a-4ac8-b320-92deda7e02a7, True
19-12 10:59:30.623|INFO |MainViewModelBase:Importing games from Amazon Games plugin.
19-12 10:59:30.737|INFO |PlayniteApplication:Application 10.46.0.26371 started
19-12 10:59:37.547|INFO |GameDatabase:Adding new game e9144f0f-a84c-43fd-9280-02b572609706 from Amazon Games plugin
19-12 10:59:37.573|INFO |GameDatabase:Adding new game fbcc4aaa-a6f1-469c-b34e-dc65756f7141 from Amazon Games plugin
19-12 10:59:37.573|INFO |GameDatabase:Adding new game 96427040-1a7d-4884-a0dd-ed08bdaae57e from Amazon Games plugin
19-12 10:59:37.573|INFO |GameDatabase:Adding new game 7d0c58f3-6fb1-471e-9d78-00d48f237410 from Amazon Games plugin
19-12 10:59:37.573|INFO |GameDatabase:Adding new game 7700e4ce-5d73-4962-bc3a-431e01a7e95c from Amazon Games plugin
19-12 10:59:37.573|INFO |GameDatabase:Adding new game da7d2f0c-fd75-4b14-81dc-346d109220e7 from Amazon Games plugin
19-12 10:59:37.573|INFO |GameDatabase:Adding new game 01c9088e-3278-4634-89d6-2a5074b64296 from Amazon Games plugin
19-12 10:59:37.573|INFO |GameDatabase:Adding new game 82aa61fa-70b0-4550-87be-6f35cdaea38e from Amazon Games plugin
19-12 10:59:37.573|INFO |GameDatabase:Adding new game e717af74-a0df-4f4a-a415-887af44c3bb4 from Amazon Games plugin
19-12 10:59:37.573|INFO |GameDatabase:Adding new game 19ae680d-5c1e-42f6-a276-5a556b40e812 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 8bf7e683-9157-46e4-9744-2a8729841a12 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game a947fa3c-3317-4a96-b06d-3f671d81c44d from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 9f710b74-9960-4411-bdfc-3cd846ca812c from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 99b3c529-785f-4b7d-b448-1a25d4b3d21c from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game a1597314-37f8-4ed9-a31c-767bdcf6436e from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 782d4c40-a964-436b-9d4c-a86d5f1b5787 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 1099aa20-6956-41ac-8a5a-e6624d2a05b1 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game dcece97c-dedf-4090-affd-58f3f0ae839a from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game a9670805-c3fc-4c06-a949-afc0b410756c from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 67b7a89f-69e8-4b4d-a0a6-80a5bb6f1f75 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 82d8ca92-26ed-4d0a-9ed8-b990c67727d6 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 30af9c0e-6dfa-457a-a8af-eab5f243ea80 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game fa610758-0d0f-4af2-a17c-caf61177cfe7 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 8f4bf0e4-4bda-42ca-851c-8523badc979c from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 05996bea-0bdf-42a9-970b-02c76b663ca9 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game ec16febb-a04e-44d0-8134-27c894f0f985 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 6350f1e0-29e9-4186-af20-d9c6d95e6032 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game cfe75f9c-4583-4efd-842a-a927958ae86e from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 704bc6ca-518d-4284-8604-9bd8fa94599e from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 09c9b422-1e05-4da7-8307-42dcb2a9877e from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 756758e1-80ec-4564-a100-b9417d1aed0a from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 9ebdf97d-7f3e-4235-9412-4ea3c8d133f5 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game cd488e76-7247-4087-b418-06faaac5e958 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game c7827e1e-8182-4d9e-bfe1-c625e7b2603b from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game a3f5ee11-7f45-4cf2-9dd9-642fb2597124 from Amazon Games plugin
